"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "TypeScript", "JSON", "JSON Lines", "comment", "blank", "total"
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\removeProsody.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\removeTags.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\semanticShift.jsx", "JavaScript JSX", 0, 38798, 0, 0, 0, 0, 0, 18, 33, 38849
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\soundChange.jsx", "JavaScript JSX", 0, 279, 0, 0, 0, 0, 0, 15, 37, 331
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\thesaurusList.jsx", "JavaScript JSX", 0, 1339, 0, 0, 0, 0, 0, 2, 15, 1356
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\Account.jsx", "JavaScript JSX", 0, 203, 0, 0, 0, 0, 0, 0, 32, 235
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\changePassword.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 0, 0, 0, 11, 75
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\corpus.jsx", "JavaScript JSX", 0, 76, 0, 0, 0, 0, 0, 0, 18, 94
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\corpusFrequencyList.jsx", "JavaScript JSX", 0, 173, 0, 0, 0, 0, 0, 3, 35, 211
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\corpusList.jsx", "JavaScript JSX", 0, 98, 0, 0, 0, 0, 0, 4, 33, 135
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\createLanguage.jsx", "JavaScript JSX", 0, 1434, 0, 0, 0, 0, 0, 9, 169, 1612
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\dictionary.jsx", "JavaScript JSX", 0, -783, 0, 0, 0, 0, 0, 115, 81, -587
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\frequencyList.jsx", "JavaScript JSX", 0, 188, 0, 0, 0, 0, 0, 1, 27, 216
