Date : 2025-06-16 00:56:27
Directory : c:\Users\awowi\Documents\GitHub\Elatha
Total : 74 files,  23933 codes, 352 comments, 1838 blanks, all 26123 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\languageSelector.jsx  | JavaScript JSX |        120 |          1 |         14 |        135 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\navbar.jsx            | JavaScript JSX |        114 |         23 |         15 |        152 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\wordSelector.jsx      | JavaScript JSX |        150 |          0 |         18 |        168 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\dictionary.jsx             | JavaScript JSX |      2,400 |        133 |        127 |      2,660 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\group.jsx                  | JavaScript JSX |        101 |          1 |         13 |        115 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\home.jsx                   | JavaScript JSX |        440 |          2 |         46 |        488 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\login.jsx                  | JavaScript JSX |         71 |          1 |         10 |         82 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\register.jsx               | JavaScript JSX |         99 |          2 |         14 |        115 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\search.jsx                 | JavaScript JSX |         84 |          0 |         14 |         98 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\user.jsx                   | JavaScript JSX |        257 |          1 |         31 |        289 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\word.jsx                   | JavaScript JSX |      1,564 |         11 |        107 |      1,682 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\pencil-square.svg         | XML            |         36 |          1 |          2 |         39 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\react.svg                 | XML            |          1 |          0 |          0 |          1 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\index.css                        | PostCSS        |         60 |          0 |          8 |         68 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\main.jsx                         | JavaScript JSX |          8 |          0 |          3 |         11 |
| c:\Users\awowi\Documents\GitHub\Elatha\frontend\vite.config.js                       | JavaScript     |          5 |          1 |          2 |          8 |
| c:\Users\awowi\Documents\GitHub\Elatha\vercel.json                                   | JSON           |          8 |          0 |          1 |          9 |
| Total                                                                                |                |     23,933 |        352 |      1,838 |     26,123 |
+--------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
